kitsu_id,slug,title_canonical,title_en,title_ja,synopsis_clean,doc_text,tags_all_json
4,monster,Monster,Monster,MONSTER,"Dr. Kenzo Tenma is a renowned young brain surgeon of Japanese descent working in Europe. Highly lauded by his peers as one of the great young minds that will revolutionize the field, he is blessed with a beautiful fiancé and is on the cusp of a high promotion in the hospital he works at. However, all of that is about to change with one critical decision that Dr. Tenma faces one night – whether to save the life of a young child or that of the town's mayor. Despite being pressured by his superiors to perform surgery on the mayor, his morals force him to perform the surgery on the young child, saving his life and forfeiting the mayor’s. All of a sudden, Dr. Tenma’s world is turned upside down by his decision leading to the loss of everything he previously had. A doctor is taught to believe that all life is equal; however, when a series of murders occur in the vicinity of Dr. Tenma, all of the evidence pointing to the young child who he saved, Tenma’s beliefs are shaken. Naoki Urasawa’s Monster is a tale full of mystery, suspense and intrigue as Dr. Tenma journeys to find out the true identity of the young child. In turn, the fate of the world may depend on it.","Titres: Monster | MONSTER
Synopsis: Dr. Kenzo Tenma is a renowned young brain surgeon of Japanese descent working in Europe. Highly lauded by his peers as one of the great young minds that will revolutionize the field, he is blessed with a beautiful fiancé and is on the cusp of a high promotion in the hospital he works at. However, all of that is about to change with one critical decision that Dr. Tenma faces one night – whether to save the life of a young child or that of the town's mayor. Despite being pressured by his superiors to perform surgery on the mayor, his morals force him to perform the surgery on the young child, saving his life and forfeiting the mayor’s. All of a sudden, Dr. Tenma’s world is turned upside down by his decision leading to the loss of everything he previously had. A doctor is taught to believe that all life is equal; however, when a series of murders occur in the vicinity of Dr. Tenma, all of the evidence pointing to the young child who he saved, Tenma’s beliefs are shaken. Naoki Urasawa’s Monster is a tale full of mystery, suspense and intrigue as Dr. Tenma journeys to find out the true identity of the young child. In turn, the fate of the world may depend on it.
Tags: Drama, Mystery, Psychological, Seinen, Thriller
Auteurs: Naoki Urasawa (Scénario & Dessin)","[""Drama"", ""Mystery"", ""Psychological"", ""Seinen"", ""Thriller""]"
8,berserk,Berserk,Berserk,ベルセルク,"His name is Guts, the Black Swordsman, a feared warrior spoken of only in whispers. Bearer of a gigantic sword, an iron hand, and the scars of countless battles and tortures, his flesh is also indelibly marked with The Brand, an unholy symbol that draws the forces of darkness to him and dooms him as their sacrifice. But Guts won't take his fate lying down; he'll cut a crimson swath of carnage through the ranks of the damned—and anyone else foolish enough to oppose him! Accompanied by Puck the Elf, more an annoyance than a companion, Guts relentlessly follows a dark, bloodstained path that leads only to death...or vengeance. Notes: - Volumes 1-5 contain the 16 prequel chapters 0A - 0P. - Chapter 83 was omitted from Volume 13 due to the author’s request. - Volume 14 includes “Berserk: The Prototype”. - Due to the author's passing, starting from Chapter 365, the manga is illustrated by Studio Gaga (Miura's assistants) and supervised by Kouji Mori (a close friend of Miura's).","Titres: Berserk | ベルセルク
Synopsis: His name is Guts, the Black Swordsman, a feared warrior spoken of only in whispers. Bearer of a gigantic sword, an iron hand, and the scars of countless battles and tortures, his flesh is also indelibly marked with The Brand, an unholy symbol that draws the forces of darkness to him and dooms him as their sacrifice. But Guts won't take his fate lying down; he'll cut a crimson swath of carnage through the ranks of the damned—and anyone else foolish enough to oppose him! Accompanied by Puck the Elf, more an annoyance than a companion, Guts relentlessly follows a dark, bloodstained path that leads only to death...or vengeance. Notes: - Volumes 1-5 contain the 16 prequel chapters 0A - 0P. - Chapter 83 was omitted from Volume 13 due to the author’s request. - Volume 14 includes “Berserk: The Prototype”. - Due to the author's passing, starting from Chapter 365, the manga is illustrated by Studio Gaga (Miura's assistants) and supervised by Kouji Mori (a close friend of Miura's).
Tags: Action, Adventure, Alternative Past, Contemporary Fantasy, Dark Fantasy, Demon, Demons, Drama, Dystopia, Fantasy, Fantasy World, Feudal Warfare, Horror, Military, Past, Plot Continuity, Psychological, Revenge, Rotten World, Supernatural, Swordplay, Violence
Auteurs: Kentarou Miura (Scénario & Dessin)","[""Action"", ""Adventure"", ""Alternative Past"", ""Contemporary Fantasy"", ""Dark Fantasy"", ""Demon"", ""Demons"", ""Drama"", ""Dystopia"", ""Fantasy"", ""Fantasy World"", ""Feudal Warfare"", ""Horror"", ""Military"", ""Past"", ""Plot Continuity"", ""Psychological"", ""Revenge"", ""Rotten World"", ""Supernatural"", ""Swordplay"", ""Violence""]"
12,20th-century-boys,20th Century Boys,20th Century Boys,20世紀少年,"Humanity, having faced extinction at the end of the 20th century, would not have entered the new millennium if it weren't for them. In 1969, during their youth, they created a symbol. In 1997, as the coming disaster slowly starts to unfold, that symbol returns. This is the story of a group of boys who try to save the world. For Kenji, a simple convenience store manager who once dreamed of becoming a rock 'n' roll musician, a host of memories from his past come rushing back when one of his childhood friends mysteriously commits suicide. Could this new death be related to the rise of a bizarre new cult that's been implicated in several other murders and disappearances? Determined to dig deeper, Kenji reunites with some of his old buddies in the hope of learning the truth behind it all.","Titres: 20th Century Boys | 20世紀少年
Synopsis: Humanity, having faced extinction at the end of the 20th century, would not have entered the new millennium if it weren't for them. In 1969, during their youth, they created a symbol. In 1997, as the coming disaster slowly starts to unfold, that symbol returns. This is the story of a group of boys who try to save the world. For Kenji, a simple convenience store manager who once dreamed of becoming a rock 'n' roll musician, a host of memories from his past come rushing back when one of his childhood friends mysteriously commits suicide. Could this new death be related to the rise of a bizarre new cult that's been implicated in several other murders and disappearances? Determined to dig deeper, Kenji reunites with some of his old buddies in the hope of learning the truth behind it all.
Tags: Drama, Historical, Mystery, Psychological, Science Fiction
Auteurs: Naoki Urasawa (Scénario & Dessin)","[""Drama"", ""Historical"", ""Mystery"", ""Psychological"", ""Science Fiction""]"
23,hajime-no-ippo,Hajime no Ippo,Hajime no Ippo,はじめの一歩,"Makunouchi Ippo has been bullied his entire life. Constantly running errands and being beaten up by his classmates, Ippo has always dreamed of changing himself, but never has the passion to act upon it. One day, in the midst of yet another bullying, Ippo is saved by Takamura Mamoru, who happens to be a boxer. Ippo faints from his injuries and is brought to Takamura boxing gym to recover. As he regains consciousness, he is awed and amazed at his new surroundings in the gym, though lacks confidence to attempt anything. Takamura places a photo of Ippo’s classmate on a punching bag and forces him to punch it. It is only then that Ippo feels something stir inside him and eventually asks Takamura to train him in boxing. Thinking that Ippo does not have what it takes, Takamura gives him a task deemed impossible and gives him a one week time limit. With a sudden desire to get stronger, for himself and his hard working mother, Ippo trains relentlessly to accomplish the task within the time limit. Thus Ippo’s journey to the top of the boxing world begins. [Written by MAL Rewrite]","Titres: Hajime no Ippo | はじめの一歩
Synopsis: Makunouchi Ippo has been bullied his entire life. Constantly running errands and being beaten up by his classmates, Ippo has always dreamed of changing himself, but never has the passion to act upon it. One day, in the midst of yet another bullying, Ippo is saved by Takamura Mamoru, who happens to be a boxer. Ippo faints from his injuries and is brought to Takamura boxing gym to recover. As he regains consciousness, he is awed and amazed at his new surroundings in the gym, though lacks confidence to attempt anything. Takamura places a photo of Ippo’s classmate on a punching bag and forces him to punch it. It is only then that Ippo feels something stir inside him and eventually asks Takamura to train him in boxing. Thinking that Ippo does not have what it takes, Takamura gives him a task deemed impossible and gives him a one week time limit. With a sudden desire to get stronger, for himself and his hard working mother, Ippo trains relentlessly to accomplish the task within the time limit. Thus Ippo’s journey to the top of the boxing world begins. [Written by MAL Rewrite]
Tags: Action, Comedy, Drama, Shounen, Sports
Auteurs: George Morikawa (Scénario & Dessin)","[""Action"", ""Comedy"", ""Drama"", ""Shounen"", ""Sports""]"
35,naruto,NARUTO,Naruto,NARUTO―ナルト―,"Before Naruto's birth, a great demon fox had attacked the Hidden Leaf Village. A man known as the 4th Hokage sealed the demon inside the newly born Naruto, causing him to unknowingly grow up detested by his fellow villagers. Despite his lack of talent in many areas of ninjutsu, Naruto strives for only one goal: to gain the title of Hokage, the strongest ninja in his village. Desiring the respect he never received, Naruto works towards his dream with fellow friends Sasuke and Sakura and mentor Kakashi as they go through many trials and battles that come with being a ninja.","Titres: NARUTO | Naruto | NARUTO―ナルト―
Synopsis: Before Naruto's birth, a great demon fox had attacked the Hidden Leaf Village. A man known as the 4th Hokage sealed the demon inside the newly born Naruto, causing him to unknowingly grow up detested by his fellow villagers. Despite his lack of talent in many areas of ninjutsu, Naruto strives for only one goal: to gain the title of Hokage, the strongest ninja in his village. Desiring the respect he never received, Naruto works towards his dream with fellow friends Sasuke and Sakura and mentor Kakashi as they go through many trials and battles that come with being a ninja.
Tags: Action, Adventure, Martial Arts, Shounen, Super Power
Auteurs: Masashi Kishimoto (Scénario & Dessin)","[""Action"", ""Adventure"", ""Martial Arts"", ""Shounen"", ""Super Power""]"
37,bleach,BLEACH,BLEACH,BLEACH,"Ichigo Kurosaki has always been able to see ghosts, but this ability doesn't change his life nearly as much as his close encounter with Rukia Kuchiki, a Soul Reaper and member of the mysterious Soul Society. While fighting a Hollow, an evil spirit that preys on humans who display psychic energy, Rukia attempts to lend Ichigo some of her powers so that he can save his family; but much to her surprise, Ichigo absorbs every last drop of her energy. Now a full-fledged Soul Reaper himself, Ichigo quickly learns that the world he inhabits is one full of dangerous spirits and, along with Rukia— who is slowly regaining her powers— it's Ichigo's job to protect the innocent from Hollows and help the spirits themselves find peace. Note: Chapter count includes the 12-chapter “Turn Back The Pendulum” side story and 8 extra chapters.","Titres: BLEACH
Synopsis: Ichigo Kurosaki has always been able to see ghosts, but this ability doesn't change his life nearly as much as his close encounter with Rukia Kuchiki, a Soul Reaper and member of the mysterious Soul Society. While fighting a Hollow, an evil spirit that preys on humans who display psychic energy, Rukia attempts to lend Ichigo some of her powers so that he can save his family; but much to her surprise, Ichigo absorbs every last drop of her energy. Now a full-fledged Soul Reaper himself, Ichigo quickly learns that the world he inhabits is one full of dangerous spirits and, along with Rukia— who is slowly regaining her powers— it's Ichigo's job to protect the innocent from Hollows and help the spirits themselves find peace. Note: Chapter count includes the 12-chapter “Turn Back The Pendulum” side story and 8 extra chapters.
Tags: Action, Adventure, Contemporary Fantasy, Fantasy, Fantasy World, Ghost, Parallel Universe, Shounen, Super Power, Supernatural, Swordplay, Violence
Auteurs: Tite Kubo (Scénario & Dessin)","[""Action"", ""Adventure"", ""Contemporary Fantasy"", ""Fantasy"", ""Fantasy World"", ""Ghost"", ""Parallel Universe"", ""Shounen"", ""Super Power"", ""Supernatural"", ""Swordplay"", ""Violence""]"
38,one-piece,One Piece,One Piece,ONE PIECE,"Gol D. Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King. Enter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece.","Titres: One Piece | ONE PIECE
Synopsis: Gol D. Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King. Enter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece.
Tags: Action, Adventure, Comedy, Drama, Fantasy, Friendship, Pirate, Shounen, Sports, Super Power
Auteurs: Eiichiro Oda (Scénario & Dessin)","[""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Fantasy"", ""Friendship"", ""Pirate"", ""Shounen"", ""Sports"", ""Super Power""]"
57,death-note,Death Note,Death Note,DEATH NOTE,"Light Yagami is a brilliant 17-year-old student, one of the top scorers on his exams in all of Japan. One day as he leaves school, he finds a mysterious black notebook on the ground with ""Death Note"" written on it. The first thing written inside: ""The human whose name is written in the notebook shall die."" Light decides to use this to cleanse the world of evil by killing all the criminals. On the scene comes L, ace detective, who's determined to find Light—who the world now calls ""Kira""—and track him down, thus bringing us an epic psychological thrill ride.","Titres: Death Note | DEATH NOTE
Synopsis: Light Yagami is a brilliant 17-year-old student, one of the top scorers on his exams in all of Japan. One day as he leaves school, he finds a mysterious black notebook on the ground with ""Death Note"" written on it. The first thing written inside: ""The human whose name is written in the notebook shall die."" Light decides to use this to cleanse the world of evil by killing all the criminals. On the scene comes L, ace detective, who's determined to find Light—who the world now calls ""Kira""—and track him down, thus bringing us an epic psychological thrill ride.
Tags: Drama, Mystery, Psychological, Shounen, Supernatural, Thriller
Auteurs: Takeshi Obata (Dessin); Tsugumi Ohba (Scénario)","[""Drama"", ""Mystery"", ""Psychological"", ""Shounen"", ""Supernatural"", ""Thriller""]"
64,d-gray-man,D.Gray-man,D.Gray-man,D.Gray-man,"Towards the end of the 19th century, Allen Walker officially joins the organization of Exorcists that destroy the beings known as Akuma; mechanic weapons made by the Millennium Earl with the suffering souls of the dead. Allen has both a cursed eye and an anti-Akuma weapon as an arm, bearing the power of ""Innocence"", a gift given to him as an apostle of God. Allen, along with his fellow Exorcists must put a stop to the Millennium Earl's ultimate plot that could lead to the destruction of the world and all who live on it.","Titres: D.Gray-man
Synopsis: Towards the end of the 19th century, Allen Walker officially joins the organization of Exorcists that destroy the beings known as Akuma; mechanic weapons made by the Millennium Earl with the suffering souls of the dead. Allen has both a cursed eye and an anti-Akuma weapon as an arm, bearing the power of ""Innocence"", a gift given to him as an apostle of God. Allen, along with his fellow Exorcists must put a stop to the Millennium Earl's ultimate plot that could lead to the destruction of the world and all who live on it.
Tags: Action, Adventure, Comedy, Demon, Demons, Shounen, Sports, Super Power, Supernatural
Auteurs: Katsura Hoshino (Scénario & Dessin)","[""Action"", ""Adventure"", ""Comedy"", ""Demon"", ""Demons"", ""Shounen"", ""Sports"", ""Super Power"", ""Supernatural""]"
66,fullmetal-alchemist,Fullmetal Alchemist,Fullmetal Alchemist,鋼の錬金術師,"In an alchemical ritual gone wrong, Edward Elric lost his arm and his leg, and his brother Alphonse became nothing but a soul in a suit of armor. Equipped with mechanical ""auto-mail"" limbs, Edward becomes a state alchemist, seeking the one thing that can restore his brother and himself... the legendary Philosopher's Stone. Won the 49th Shogakukan Manga Award in the Shounen category. Won the 15th Tezuka Osamu Cultural Award New Artist Prize. Won the Eagle Award's ""Favourite Manga"" in 2010/2011. Won the Seiun Award for best science fiction comic in 2011.","Titres: Fullmetal Alchemist | 鋼の錬金術師
Synopsis: In an alchemical ritual gone wrong, Edward Elric lost his arm and his leg, and his brother Alphonse became nothing but a soul in a suit of armor. Equipped with mechanical ""auto-mail"" limbs, Edward becomes a state alchemist, seeking the one thing that can restore his brother and himself... the legendary Philosopher's Stone. Won the 49th Shogakukan Manga Award in the Shounen category. Won the 15th Tezuka Osamu Cultural Award New Artist Prize. Won the Eagle Award's ""Favourite Manga"" in 2010/2011. Won the Seiun Award for best science fiction comic in 2011.
Tags: Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Politics, Shounen, Steampunk, War
Auteurs: Hiromu Arakawa (Scénario & Dessin)","[""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Fantasy"", ""Magic"", ""Military"", ""Politics"", ""Shounen"", ""Steampunk"", ""War""]"
